time,Despicable Me Minion Mayhem,ET Adventure,Fast & Furious - Supercharged,Harry Potter and the Escape from Gringotts,Hogwarts Express,Hollywood Rip Ride Rockit,MEN IN BLACK Alien Attack,Race Through New York Starring Jimmy Fallon,Revenge of the Mummy,TRANSFORMERS - The Ride 3D,The Simpsons Ride
12:05:00,83.18681319,27.69662921,37.33333333,55.95505618,14.15730337,68,27.52873563,32.36263736,46.89655172,55.11494253,34.01098901
12:10:00,82.33695652,28.82022472,36.15384615,56.12359551,14.54545455,68.52272727,27.75280899,31.41304348,46.18644068,55.33707865,34.13043478
12:15:00,81.68478261,29.48275862,37.91208791,57.22222222,14.60227273,69.26136364,29.49438202,32.82608696,45.94827586,55.6741573,34.67391304
12:20:00,81.14130435,29.31034483,38.73626374,59,15.28089888,69.08045977,31.16666667,33.09782609,47.5862069,57.61627907,35.54347826
12:25:00,81.04395604,28.22222222,39.12087912,59.55555556,15.78651685,69.82142857,32.33333333,33.09782609,45.78947368,58.125,36.25
12:30:00,80.16483516,27.86516854,41,59.94444444,16.17977528,67.91666667,32.88888889,34.7826087,45.94827586,58.6627907,34.89130435
12:35:00,79.38202247,26.36363636,41.81818182,58.62068966,17.02247191,68.375,32.6744186,36.16666667,45.96491228,60.05882353,35.16666667
12:40:00,78.49462366,25.11111111,42.30337079,58.84615385,17.20430108,68.2278481,33.85057471,35.80645161,45.91666667,59.5505618,34.24731183
12:45:00,77.6344086,25.56179775,41.23595506,59.34065934,17.84946237,67.97468354,35.22727273,36.4673913,46.25,58.53932584,34.89247312
12:50:00,75.16129032,26.19318182,40.68181818,61.42857143,18.44086022,69.07894737,35.22727273,35.05434783,46.44067797,58.13186813,36.66666667
12:55:00,73.8172043,27.97752809,41.30681818,61.86813187,19.7311828,68.21917808,36.30681818,34.23913043,45.33333333,58.65168539,38.27956989
13:00:00,73.27956989,29.3258427,41.62921348,63.24175824,20.53763441,65.45454545,37.07865169,32.6344086,45.91666667,58.98876404,38.97849462
13:05:00,72.6344086,30.6741573,42.30337079,63.55555556,21.55913978,63.48684211,37.38888889,32.31182796,46.94915254,59.82954545,39.19354839
13:10:00,71.34408602,32.38888889,42.72727273,65.49450549,22.3655914,62.2972973,37.35955056,31.39784946,46.58333333,60.34090909,39.7311828
13:15:00,70.05376344,33.5,41.81818182,67.47252747,24.19354839,59.7260274,38.62637363,31.66666667,46.77966102,59.88636364,39.89247312
13:20:00,67.98913043,33,42.32954545,67.88888889,26.02150538,59.50704225,38.72222222,31.82795699,48.60655738,60.86206897,40.91397849
13:25:00,67.44565217,33.65168539,43.35227273,70.27777778,26.14130435,59,39.3258427,31.61290323,49.75409836,60.11235955,41.50537634
13:30:00,65.38043478,32.64044944,43.86363636,71.48351648,27.44565217,57.75362319,39.1011236,32.74193548,49.83606557,60.625,41.07526882
13:35:00,65.32608696,32.47191011,44.38202247,72.52747253,29.23913043,57,37.89772727,33.06451613,50.90163934,60.28089888,40.86021505
13:40:00,64.94565217,31.40449438,43.77777778,74.01098901,30.43478261,57.67605634,38.35227273,33.06451613,51.39344262,60.11235955,41.12903226
13:45:00,64.56521739,30.40697674,43.22222222,76.53846154,31.4673913,58.08219178,38.38888889,32.31182796,50.98360656,57.95454545,41.29032258
13:50:00,63.58695652,32.58823529,42.94444444,77.1978022,33.20652174,57.56944444,39.13043478,32.04301075,50.73770492,56.96629213,41.39784946
13:55:00,61.88888889,32.70114943,42.05555556,78.2967033,34.89130435,55.97222222,39.34065934,31.72043011,51.16666667,57.58823529,40.91397849
14:00:00,61.37362637,32.20930233,43.52272727,77.91208791,35.54347826,55.28169014,39.67032967,31.77419355,51.39344262,57.11764706,41.12903226
14:05:00,59.77777778,32.82352941,43.2183908,79.61538462,36.63043478,55.36231884,40.38461538,31.29032258,53.1147541,56.45348837,40.32258065
14:10:00,58.27777778,33.02325581,42.94117647,82.33695652,38.36956522,54.43661972,41.62921348,32.09677419,51.96721311,55.98837209,39.89247312
14:15:00,57.58241758,33.08139535,43.53658537,83.49462366,39.89247312,53.78571429,43.13186813,30.4787234,50.16129032,55.87209302,40.21276596
14:20:00,57.85714286,32.09302326,44.45121951,84.35483871,40.53763441,54.375,43.02197802,30.10638298,49.92063492,55.34482759,39.78494624
14:25:00,55.71428571,31.14942529,46.48809524,83.84615385,41.20879121,53.11594203,42.47126437,29.51086957,48.85245902,53.95348837,40.38461538
14:30:00,55.92391304,31.03448276,45.22988506,83.26086957,42.2826087,55.35211268,43.52272727,29.08602151,49.18032787,53.04597701,41.07526882
14:35:00,55.92391304,30.74712644,44.54545455,83.20652174,42.93478261,54.57746479,43.59550562,28.87096774,48.87096774,53.54651163,41.07526882
14:40:00,55.32258065,31.20689655,44.31818182,83.9673913,44.23913043,55.28169014,43.48314607,30.59139785,49.51612903,53.62068966,41.02150538
14:45:00,55.69892473,30.11363636,42.58426966,84.40217391,45.43478261,56.26760563,45.28409091,30.91397849,50,53.25581395,40.96774194
14:50:00,56.07526882,30.11494253,42.64044944,82.2826087,46.52173913,56.17647059,45.11363636,31.77419355,49.19354839,52.55813953,40.80645161
14:55:00,55.05376344,30.61797753,42.79069767,81.63043478,47.01086957,56.10294118,44.33333333,32.20430108,49.09836066,52.29885057,41.50537634
15:00:00,55.16129032,31.55555556,44.41860465,81.41304348,47.11956522,57.10144928,43.83333333,33.01075269,48.93442623,53.33333333,41.34408602
15:05:00,54.94623656,32.52808989,44.64705882,82.11956522,47.39130435,56.40625,43.03370787,33.22580645,48.25,52.61363636,41.39784946
15:10:00,53.80434783,33.35227273,45.70588235,84.03225806,48.09782609,55.3968254,42.78409091,33.17204301,47.08333333,53.03370787,41.07526882
15:15:00,53.85869565,34.60227273,45.28735632,83.75,48.15217391,56.66666667,42.72727273,31.72043011,47.29508197,52.58426966,41.29032258
15:20:00,53.16666667,35.22727273,43.33333333,85.92391304,48.64130435,56.25,42.4137931,31.23655914,47.98387097,52.05555556,41.61290323
15:25:00,53.40659341,34.94318182,42.26744186,84.34782609,48.97849462,57.87878788,42.05555556,31.23655914,47.82258065,52,42.47311828
15:30:00,53.07692308,33.69318182,39.30232558,87.09677419,49.67741935,58.49206349,42.10227273,31.02150538,48.5483871,51.47727273,44.24731183
15:35:00,53.46153846,33.08139535,38.23529412,89.03225806,50.64516129,55.16393443,41.85393258,30.10752688,49.03225806,50.86206897,42.84946237
15:40:00,53.125,33.3908046,38.03571429,89.08602151,51.02150538,55.31746032,41.98863636,29.7311828,49.67741935,50.57471264,41.02150538
15:45:00,52.97752809,33.19767442,37.85714286,88.24468085,51.0106383,56.12903226,42.2826087,29.41489362,50.47619048,50.84269663,40.53191489
15:50:00,52.38636364,32.17647059,37.07317073,88.76344086,51.55913978,55.88709677,43.03370787,27.84946237,49.03225806,49.88636364,40.10752688
15:55:00,52.4137931,31.42857143,38.25301205,88.15217391,51.90217391,55.56451613,44.02298851,28.69565217,48.36065574,50.05813953,40.2173913
16:00:00,51.30681818,30.11363636,39.04761905,89.18478261,52.7173913,54.53125,43.67816092,27.25806452,48.36065574,50.45454545,40
16:05:00,52.58426966,29.3956044,38.88235294,89.94623656,53.42391304,55,43.79310345,27.79569892,49.83606557,49.77272727,40.59139785
16:10:00,52.24719101,29.94505495,39.70238095,89.45054945,53.69565217,55.47619048,44.24418605,27.20430108,50,48.20224719,40.21505376
16:15:00,53.70786517,29.83516484,39.76744186,89.51086957,53.60215054,56.76923077,43.82022472,26.54255319,46.98412698,47.52808989,39.94680851
16:20:00,53.70786517,32.11111111,38.85057471,90.27777778,53.06451613,57.01492537,43.23529412,27.84946237,46.8852459,48.14606742,40.37634409
16:25:00,52.80898876,31.79775281,38.23863636,92.83333333,52.52688172,59,42.75862069,27.47311828,45.98360656,48.75,40
16:30:00,52.52808989,32.35294118,37.72727273,93.03370787,52.33695652,58.90625,42.32142857,26.63043478,46.2295082,48.38888889,39.45652174
16:35:00,53.03370787,33.54651163,37.44444444,93.35164835,52.66304348,60.15625,41.72413793,26.39784946,46.47540984,48.98876404,39.62365591
